payment_id,customer_id,amount,currency,payment_method,failure_reason,attempt_number,previous_successes,previous_failures,customer_avg_amount,transaction_time,hour,day_of_week,recovered,recovery_amount
pay_demo_000001,cust_0655,5744.29,INR,debit_card,insufficient_funds,1,3,5,22349.7,2026-04-10T21:25:02.086831,21,4,0,0.0
pay_demo_000002,cust_0433,1782.78,INR,upi,insufficient_funds,1,19,0,17056.73,2026-03-14T01:28:02.087072,1,5,1,1627.55
pay_demo_000003,cust_0460,29545.43,INR,upi,insufficient_funds,1,10,2,5086.65,2026-06-02T20:57:02.087124,20,1,1,26797.38
pay_demo_000004,cust_0368,42405.22,INR,debit_card,bank_timeout,2,17,0,29206.92,2026-05-23T21:27:02.087166,21,5,0,0.0
pay_demo_000005,cust_0301,41504.35,INR,debit_card,network_error,1,2,0,20007.27,2026-06-14T21:08:02.087197,21,6,1,36727.97
pay_demo_000006,cust_0104,19130.29,INR,netbanking,authentication_failed,2,5,2,10980.49,2026-03-09T15:18:02.087222,15,0,0,0.0
pay_demo_000007,cust_0960,34240.67,INR,upi,network_error,1,17,5,7721.92,2026-05-01T11:45:02.087241,11,4,1,34186.86
pay_demo_000008,cust_0656,34470.47,INR,credit_card,authentication_failed,1,1,1,24743.18,2026-06-08T11:45:02.087270,11,0,1,29642.13
pay_demo_000009,cust_0936,47156.9,INR,debit_card,insufficient_funds,1,12,5,14036.13,2026-06-21T19:47:02.087312,19,6,0,0.0
pay_demo_000010,cust_0763,28156.13,INR,debit_card,authentication_failed,1,18,3,11178.9,2026-07-23T07:31:02.087341,7,3,1,24316.66
pay_demo_000011,cust_0049,43082.92,INR,credit_card,authentication_failed,1,13,4,2374.07,2026-05-22T04:33:02.087362,4,4,0,0.0
pay_demo_000012,cust_0542,12720.42,INR,upi,authentication_failed,2,17,2,23173.66,2026-06-01T20:44:02.087382,20,0,1,11641.92
pay_demo_000013,cust_0465,361.62,INR,debit_card,network_error,2,16,0,26180.3,2026-06-12T03:30:02.087417,3,4,1,340.41
pay_demo_000014,cust_0157,18820.91,INR,credit_card,network_error,3,16,0,18168.87,2026-04-24T23:55:02.087440,23,4,1,18620.75
pay_demo_000015,cust_0900,49269.0,INR,debit_card,insufficient_funds,1,18,0,3026.78,2026-04-25T21:14:02.087463,21,5,0,0.0
pay_demo_000016,cust_0546,38338.55,INR,credit_card,authentication_failed,1,17,1,8319.17,2026-03-25T10:49:02.087481,10,2,1,37929.75
